time;ax;ay;az;aT
1.1620;-0.4646;0.1449;0.0347;0.488
1.1680;-0.4903;0.1638;-0.0111;0.517
1.1720;-0.5300;0.1926;-0.0666;0.568
1.1770;-0.6169;0.2268;-0.1366;0.671
1.1820;-0.6170;0.2137;-0.0634;0.656
1.1870;-0.5546;0.1678;-0.0193;0.580
1.1990;-0.5157;0.1512;0.0149;0.538
1.1990;-0.4808;0.1539;0.0060;0.505
1.2020;-0.4644;0.1328;-0.0701;0.488
1.2260;-0.5141;0.0977;-0.0457;0.525
1.2270;-0.5391;0.0581;-0.0981;0.551
1.2280;-0.5018;0.0571;-0.1171;0.518
1.2280;-0.4932;0.0807;-0.1172;0.513
1.2290;-0.5084;0.1385;-0.1703;0.554
1.2320;-0.4756;0.2111;-0.1757;0.549
1.2370;-0.4565;0.2366;-0.1624;0.539
1.2430;-0.4127;0.2722;-0.1447;0.515
1.2470;-0.4348;0.2654;-0.0986;0.519
1.2520;-0.4465;0.2397;-0.0001;0.507
1.2590;-0.5108;0.2241;0.0838;0.564
1.2620;-0.5418;0.2518;0.1387;0.613
1.2670;-0.6119;0.2655;0.1026;0.675
1.2730;-0.6731;0.2219;0.0952;0.715
1.2780;-0.6208;0.1738;0.1403;0.660
1.2820;-0.5408;0.1499;0.1567;0.583
1.2880;-0.4816;0.1116;0.1780;0.525
1.3000;-0.4137;0.1163;0.1610;0.459
1.3000;-0.3225;0.1064;0.1203;0.360
1.3020;-0.3508;0.1059;0.1227;0.386
1.3270;-0.3315;0.0189;0.1827;0.379
1.3280;-0.2844;-0.0302;0.1808;0.338
1.3290;-0.3054;0.0114;0.0642;0.312
1.3290;-0.2940;0.0433;0.0052;0.297
1.3300;-0.2599;0.0897;-0.0682;0.283
1.3340;-0.2253;0.0832;-0.1025;0.261
1.3380;-0.1870;0.1199;-0.1082;0.247
1.3440;-0.1921;0.1234;-0.1094;0.253
1.3480;-0.2541;0.1084;-0.0727;0.286
1.3530;-0.2299;0.0889;-0.1029;0.267
1.3600;-0.1869;0.0221;-0.1138;0.220
1.3640;-0.1962;-0.0394;-0.1532;0.252
1.3680;-0.2143;-0.0482;-0.2682;0.347
1.3760;-0.2361;-0.0329;-0.3729;0.443
1.3790;-0.2283;-0.0697;-0.4056;0.471
1.3840;-0.1770;-0.0488;-0.3671;0.410
1.3890;-0.1158;-0.0654;-0.3624;0.386
1.3940;-0.0831;-0.1288;-0.4197;0.447
1.3990;-0.0696;-0.1254;-0.4564;0.478
1.4040;-0.0027;-0.1644;-0.4120;0.444
1.4180;0.0747;-0.1070;-0.4063;0.427
1.4180;0.2105;-0.1303;-0.2239;0.334
1.4190;0.2947;-0.1248;-0.0084;0.320
1.4440;0.2937;-0.1339;0.1736;0.367
1.4450;0.2934;-0.1531;0.3172;0.458
1.4450;0.2745;-0.1440;0.4131;0.517
1.4460;0.2271;-0.1067;0.5378;0.593
1.4460;0.1941;-0.0555;0.6482;0.679
1.4510;0.1893;-0.0337;0.7157;0.741
1.4540;0.1747;-0.0462;0.7883;0.809
1.4600;0.1547;-0.0980;0.8517;0.871
1.4640;0.2056;-0.1221;0.8486;0.882
1.4690;0.2365;-0.1282;0.7551;0.802
1.4760;0.2713;-0.1593;0.6766;0.746
1.4790;0.2718;-0.1388;0.6800;0.745
1.4850;0.3149;-0.1626;0.6599;0.749
1.4900;0.3096;-0.1685;0.6979;0.782
1.4950;0.3369;-0.2090;0.6215;0.737
1.5000;0.2916;-0.2171;0.5362;0.648
1.5050;0.3127;-0.1925;0.4418;0.574
1.5170;0.3234;-0.1637;0.4147;0.551
1.5180;0.3666;-0.1639;0.3064;0.505
1.5220;0.3612;-0.1405;0.2271;0.449
1.5500;0.3938;-0.1553;0.1957;0.466
1.5510;0.4404;-0.1705;0.2602;0.539
1.5520;0.4965;-0.1766;0.3727;0.645
1.5520;0.4902;-0.1834;0.4279;0.676
1.5520;0.5125;-0.2101;0.4739;0.729
1.5530;0.5395;-0.1899;0.4532;0.730
1.5560;0.5092;-0.1945;0.5048;0.743
1.5610;0.4929;-0.2097;0.5041;0.736
1.5650;0.4858;-0.1970;0.4034;0.661
1.5700;0.4737;-0.2231;0.3079;0.607
1.5770;0.4329;-0.1778;0.1935;0.506
1.5800;0.4162;-0.2286;0.1703;0.504
1.5850;0.4044;-0.2172;0.0803;0.466
1.5910;0.3972;-0.2250;-0.0000;0.457
1.5960;0.3992;-0.2756;-0.0373;0.486
1.6000;0.3481;-0.2779;-0.2133;0.494
1.6050;0.2825;-0.2556;-0.3321;0.505
1.6170;0.2314;-0.2326;-0.3936;0.512
1.6170;0.2091;-0.1895;-0.4603;0.540
1.6430;0.1821;-0.1646;-0.4986;0.556
1.6440;0.2319;-0.1722;-0.5373;0.610
1.6450;0.2434;-0.1882;-0.5383;0.620
1.6450;0.2262;-0.1697;-0.5493;0.618
1.6460;0.2281;-0.1310;-0.5177;0.581
1.6460;0.2444;-0.1250;-0.5153;0.584
1.6510;0.2796;-0.0944;-0.4845;0.567
1.6560;0.2957;-0.0826;-0.4252;0.524
1.6620;0.3832;-0.0991;-0.3375;0.520
1.6660;0.4609;-0.1105;-0.2117;0.519
1.6710;0.5045;-0.1267;-0.1435;0.540
1.6770;0.4764;-0.1240;-0.1757;0.523
1.6840;0.4488;-0.0883;-0.1502;0.481
1.6860;0.4459;-0.0868;-0.0671;0.459
1.6910;0.4053;-0.0955;0.0402;0.418
1.6970;0.3316;-0.0619;0.1763;0.381
1.7020;0.2911;-0.0340;0.2553;0.389
1.7070;0.2500;-0.0354;0.2054;0.326
1.7180;0.2467;-0.0039;0.0936;0.264
1.7190;0.2479;0.0081;0.0396;0.251
1.7430;0.2683;-0.0516;0.0286;0.275
1.7440;0.2790;-0.0824;0.0846;0.303
1.7440;0.3089;-0.1273;0.0687;0.341
1.7450;0.3053;-0.1435;0.0145;0.338
1.7450;0.2447;-0.1260;0.0321;0.277
1.7470;0.2611;-0.1037;0.1022;0.299
1.7520;0.2873;-0.1053;0.1053;0.324
1.7570;0.2754;-0.1355;0.1179;0.329
1.7630;0.2442;-0.1276;0.0971;0.292
1.7670;0.2849;-0.1391;0.1290;0.342
1.7730;0.2683;-0.1414;0.0894;0.316
1.7780;0.2757;-0.1582;0.0977;0.333
1.7850;0.3122;-0.1801;0.0440;0.363
1.7870;0.2821;-0.1929;0.0432;0.344
1.8010;0.2617;-0.1629;0.0091;0.308
1.8020;0.1938;-0.1858;-0.0535;0.274
1.8310;0.1550;-0.1468;-0.0968;0.234
1.8320;0.2168;-0.1655;-0.1351;0.304
1.8330;0.2070;-0.1840;-0.2070;0.346
1.8340;0.1447;-0.1541;-0.3316;0.393
1.8340;0.1308;-0.1284;-0.3559;0.400
1.8350;0.1365;-0.1257;-0.3998;0.441
1.8350;0.1139;-0.1030;-0.4441;0.470
1.8380;0.1252;-0.1131;-0.4313;0.463
1.8450;0.0554;-0.1510;-0.3855;0.418
1.8480;0.0767;-0.1452;-0.3592;0.395
1.8530;0.1413;-0.1198;-0.3283;0.377
1.8580;0.0723;-0.1274;-0.3122;0.345
1.8630;0.0375;-0.1204;-0.2962;0.322
1.8680;-0.0067;-0.1132;-0.2516;0.276
1.8740;-0.0078;-0.0434;-0.1977;0.203
1.8780;-0.0427;-0.0645;-0.1583;0.176
1.8830;-0.0253;-0.0805;-0.1620;0.183
1.8880;0.0542;-0.1299;-0.1850;0.232
1.9020;0.0714;-0.1456;-0.1649;0.231
1.9030;0.0168;-0.1372;-0.1449;0.200
1.9050;0.0577;-0.1289;-0.1202;0.185
1.9300;0.0408;-0.0871;-0.0668;0.117
1.9300;0.0281;-0.1075;-0.0899;0.143
1.9310;-0.0088;-0.0895;-0.1275;0.156
1.9310;-0.0410;-0.0951;-0.1078;0.149
1.9310;-0.1116;-0.0862;-0.0786;0.161
1.9400;-0.0965;-0.0772;-0.0255;0.126
1.9400;-0.0820;-0.1063;0.0799;0.156
