time;ax;ay;az;aT
1.0340;0.0278;-0.0406;0.1678;0.175
1.0390;0.0868;-0.0938;0.2374;0.270
1.0510;0.0211;-0.0323;0.2496;0.253
1.0510;-0.0161;0.0191;0.3050;0.306
1.0540;-0.0634;0.0754;0.2886;0.305
1.0700;-0.0873;0.1316;0.2531;0.298
1.0710;-0.1310;0.1737;0.2892;0.362
1.0710;-0.0936;0.2015;0.3061;0.378
1.0780;-0.0901;0.2342;0.2704;0.369
1.0790;-0.1205;0.2623;0.2632;0.391
1.0840;-0.1033;0.2668;0.2369;0.371
1.0920;-0.0573;0.1995;0.2966;0.362
1.0940;0.0124;0.1993;0.2941;0.355
1.0990;-0.0039;0.2036;0.3443;0.400
1.1040;0.0279;0.1933;0.3611;0.411
1.1100;0.0361;0.2063;0.4164;0.466
1.1140;-0.0030;0.2330;0.4384;0.497
1.1190;0.0063;0.2205;0.4369;0.489
1.1260;0.0399;0.2261;0.3881;0.451
1.1290;0.0120;0.2210;0.3972;0.455
1.1340;0.0804;0.2388;0.4210;0.491
1.1400;0.0248;0.2650;0.3497;0.439
1.1520;-0.0160;0.2665;0.3267;0.422
1.1530;-0.0418;0.2721;0.3040;0.410
1.1540;-0.0481;0.2675;0.3007;0.405
1.1720;-0.0877;0.2480;0.3454;0.434
1.1730;-0.1561;0.2427;0.3664;0.466
1.1740;-0.1147;0.2230;0.3155;0.403
1.1780;-0.1020;0.2177;0.2839;0.372
1.1800;-0.1419;0.1548;0.3767;0.431
1.1840;-0.1192;0.1015;0.3691;0.401
1.1940;-0.1301;0.0817;0.3758;0.406
1.1960;-0.0499;0.0428;0.4638;0.468
1.2000;-0.0127;0.0512;0.5424;0.545
1.2050;-0.0325;0.0829;0.3963;0.406
1.2100;-0.0663;0.0711;0.3129;0.328
1.2150;-0.1138;0.0637;0.2393;0.273
1.2200;-0.1321;0.0895;0.1946;0.252
1.2270;-0.1165;0.0386;0.2027;0.237
1.2310;-0.1151;0.0068;0.1869;0.220
1.2350;-0.0896;0.0418;0.1377;0.170
1.2510;-0.1158;0.0336;0.1259;0.174
1.2510;-0.1227;0.0301;0.2283;0.261
1.2520;-0.1344;0.0598;0.2253;0.269
1.2710;-0.1653;0.0703;0.2129;0.279
1.2720;-0.1397;0.0902;0.2718;0.319
1.2720;-0.1391;0.0957;0.2544;0.305
1.2730;-0.1203;0.1202;0.1895;0.255
1.2770;-0.1071;0.1305;0.0681;0.182
1.2810;-0.1135;0.1266;0.0758;0.186
1.2860;-0.0872;0.1088;0.0834;0.162
1.2930;-0.0285;0.0679;0.0146;0.075
1.2950;-0.0229;0.0372;0.0603;0.074
