time;ax;ay;az;aT
0.9200;0.0260;0.0185;-0.0705;0.077
0.9250;0.0413;-0.0199;-0.0793;0.092
0.9300;-0.0339;-0.0578;-0.1545;0.168
0.9350;-0.0280;-0.0619;-0.1723;0.185
0.9400;-0.0223;-0.0324;-0.1331;0.139
0.9460;-0.0690;-0.0171;-0.1561;0.172
0.9500;-0.1580;0.0219;-0.1837;0.243
0.9550;-0.1989;0.0084;-0.1827;0.270
0.9650;-0.1824;0.0284;-0.1438;0.234
0.9660;-0.1897;-0.0039;-0.1147;0.222
0.9710;-0.1351;-0.0170;-0.1523;0.204
0.9870;-0.1279;-0.0252;-0.1516;0.200
0.9870;-0.1396;-0.0096;-0.1319;0.192
0.9880;-0.0940;-0.0510;-0.0839;0.136
1.0030;-0.0772;-0.0921;-0.0031;0.120
1.0040;-0.0085;-0.1186;0.0675;0.137
1.0050;0.0068;-0.1262;0.0665;0.143
1.0060;-0.0020;-0.0768;0.1320;0.153
1.0140;-0.0350;-0.0044;0.2019;0.205
1.0160;-0.0205;0.0102;0.2190;0.220
1.0210;-0.0021;-0.0043;0.1982;0.198
1.0270;-0.0557;-0.0191;0.1873;0.196
1.0320;-0.0287;-0.0434;0.1528;0.161
1.0360;-0.0498;-0.0486;0.1471;0.163
1.0410;-0.0328;-0.0821;0.0844;0.122
1.0470;0.0125;-0.0915;0.0222;0.095
1.0510;-0.0088;-0.0723;0.0175;0.075
1.0580;0.0275;-0.0625;-0.0111;0.069
1.0710;0.0592;-0.0762;0.0222;0.099
1.0710;0.0433;-0.0564;0.0645;0.096
1.0730;-0.0198;-0.0318;0.0685;0.078
1.0780;-0.0349;-0.0360;0.0297;0.058
1.0890;-0.0071;-0.0116;0.0815;0.083
1.0890;0.0251;-0.0400;0.0712;0.085
1.0930;0.0336;-0.0446;0.0042;0.056
1.0980;0.0803;-0.0495;-0.0288;0.099
1.1020;0.0936;-0.0734;-0.1185;0.168
1.1070;0.1070;-0.1207;-0.1220;0.202
1.1130;0.1252;-0.1153;-0.1493;0.226
1.1170;0.0960;-0.1096;-0.2049;0.251
1.1220;0.0626;-0.1274;-0.1844;0.233
1.1270;0.0392;-0.1163;-0.1166;0.169
1.1320;0.0347;-0.1099;-0.1065;0.157
1.1370;-0.0125;-0.0986;-0.0918;0.135
1.1420;0.0164;-0.1014;-0.0442;0.112
1.1470;0.0403;-0.0898;-0.0113;0.099
1.1520;-0.0214;-0.0972;0.0261;0.103
1.1580;-0.1067;-0.0809;0.0347;0.138
1.1700;-0.0542;-0.0650;0.0908;0.124
1.1860;-0.0261;-0.0921;0.0325;0.101
1.1880;-0.0556;-0.0907;0.0508;0.118
1.1890;-0.0236;-0.1084;0.0596;0.126
1.1890;0.0317;-0.1547;0.0351;0.162
1.1890;0.0106;-0.1627;-0.0509;0.171
1.1930;0.0135;-0.1089;-0.1647;0.198
1.1980;0.0070;-0.0981;-0.2063;0.229
1.2030;0.0342;-0.1726;-0.2667;0.320
1.2080;0.0852;-0.1606;-0.3126;0.362
1.2130;0.0648;-0.1530;-0.2919;0.336
1.2180;0.0593;-0.1402;-0.2954;0.332
1.2230;0.0399;-0.1270;-0.2896;0.319
1.2300;0.0067;-0.1514;-0.2413;0.285
1.2330;-0.0116;-0.1326;-0.2031;0.243
1.2380;-0.0247;-0.1088;-0.2129;0.240
1.2440;-0.0091;-0.0802;-0.0755;0.111
1.2480;-0.0218;-0.0756;-0.0532;0.095
1.2530;0.0318;-0.0664;-0.0358;0.082
1.2580;0.0184;-0.0761;-0.0472;0.091
1.2710;0.0050;-0.0953;-0.0678;0.117
1.2730;-0.0177;-0.0527;-0.0408;0.069
1.2770;-0.0118;-0.0674;-0.0045;0.069
1.2890;-0.0014;-0.0964;-0.0017;0.096
1.2900;-0.0342;-0.0920;0.0106;0.099
1.2900;-0.0146;-0.0309;-0.0056;0.035
1.2940;-0.0097;-0.0416;-0.0072;0.043
1.2990;-0.0194;-0.0760;-0.0422;0.089
1.3040;-0.0101;-0.1337;-0.0342;0.138
1.3090;0.0371;-0.1525;-0.0408;0.162
1.3150;0.0696;-0.0949;0.0333;0.122
1.3190;0.0544;-0.0519;0.0592;0.096
1.3240;0.0205;-0.0139;0.0184;0.031
1.3310;0.0108;-0.0192;0.0683;0.072
1.3340;-0.0318;0.0040;0.0751;0.082
1.3410;-0.0123;0.0174;0.0771;0.080
1.3450;0.0023;0.0306;0.0602;0.068
1.3490;0.0119;-0.0180;0.0243;0.033
1.3540;0.0262;-0.0139;0.0078;0.031
1.3590;0.0454;-0.0573;-0.0371;0.082
1.3720;0.0600;-0.0958;-0.0483;0.123
1.3720;0.0321;-0.0769;-0.0404;0.093
1.3740;-0.0192;-0.0582;-0.0610;0.086
1.3900;0.0204;-0.0634;-0.1242;0.141
1.3910;0.1030;-0.0921;-0.0730;0.156
1.3910;0.1238;-0.1159;0.0254;0.171
1.3960;0.1214;-0.0827;0.0756;0.165
1.4010;0.1671;-0.0930;0.0402;0.195
1.4040;0.1844;-0.1037;0.0481;0.217
1.4100;0.2258;-0.1290;0.0087;0.260
1.4150;0.2482;-0.1260;-0.1013;0.296
1.4200;0.2802;-0.1898;-0.1248;0.361
1.4250;0.3361;-0.2104;-0.2050;0.446
1.4320;0.3350;-0.2068;-0.3036;0.497
1.4350;0.2964;-0.2034;-0.4204;0.553
1.4400;0.2302;-0.1569;-0.4888;0.563
1.4450;0.1465;-0.1007;-0.6376;0.662
1.4500;0.1359;-0.1201;-0.7904;0.811
1.4550;0.1133;-0.1912;-0.9494;0.975
1.4600;0.0682;-0.1791;-1.0516;1.069
1.4720;0.0436;-0.1699;-1.0734;1.088
1.4720;0.0155;-0.1395;-0.9909;1.001
1.4770;0.0458;-0.0688;-0.8090;0.813
1.4890;0.0239;-0.0494;-0.6423;0.645
1.4900;-0.0452;-0.0575;-0.5194;0.525
1.4910;-0.1137;-0.0501;-0.4259;0.444
1.4980;-0.0765;-0.0089;-0.2990;0.309
1.5010;-0.0968;0.0132;-0.1006;0.140
1.5060;-0.0982;0.0352;-0.0601;0.120
1.5110;-0.0378;0.0570;-0.0291;0.074
1.5160;0.0177;0.0883;-0.0698;0.114
1.5210;-0.0273;0.0813;-0.4356;0.444
1.5260;-0.1004;0.1520;-0.6339;0.660
1.5320;-0.1003;0.1381;-0.5217;0.549
1.5360;-0.0225;0.0197;-0.3621;0.363
1.5410;0.0799;-0.1219;-0.0688;0.161
1.5480;0.0913;-0.1728;0.2579;0.324
1.5510;0.0254;-0.1095;0.3884;0.404
1.5560;-0.0419;0.0101;0.3470;0.350
1.5620;-0.0007;0.1047;0.2631;0.283
1.5720;0.2210;0.2419;0.1363;0.355
1.5730;0.4185;0.1922;0.1486;0.484
1.5950;0.4534;0.1134;0.2902;0.550
1.5960;0.3444;0.1776;0.4272;0.577
1.5960;0.1149;0.2703;0.4302;0.521
1.5970;-0.0729;0.4339;0.4142;0.604
1.5980;-0.2146;0.5439;0.4654;0.747
1.6010;-0.3536;0.4900;0.5073;0.789
1.6070;-0.4757;0.4782;0.5111;0.846
1.6140;-0.5287;0.4317;0.5773;0.894
1.6170;-0.5796;0.3983;0.6678;0.970
1.6220;-0.5665;0.3441;0.6772;0.948
1.6270;-0.5512;0.2787;0.6633;0.906
1.6320;-0.5331;0.2597;0.6306;0.866
1.6370;-0.5502;0.1629;0.5076;0.766
1.6420;-0.5345;0.1033;0.3900;0.670
1.6480;-0.5242;0.0766;0.3014;0.610
1.6520;-0.5859;0.0641;0.1988;0.622
1.6570;-0.5945;0.0613;0.1201;0.610
1.6620;-0.5308;0.1068;0.0558;0.544
1.6720;-0.5477;0.1576;0.0343;0.571
1.6730;-0.5155;0.1469;-0.0112;0.536
1.6780;-0.5013;0.1611;0.0579;0.530
1.6890;-0.4621;0.1711;0.0836;0.500
1.6900;-0.3887;0.1722;0.0948;0.436
1.6920;-0.3193;0.1499;0.1536;0.385
1.6980;-0.3307;0.1232;0.1931;0.402
1.7020;-0.3177;0.1065;0.2086;0.395
1.7080;-0.2660;0.1856;0.2814;0.429
1.7150;-0.3102;0.1785;0.3015;0.468
1.7170;-0.3210;0.2002;0.3072;0.487
1.7220;-0.3175;0.2168;0.2747;0.473
1.7300;-0.3095;0.2094;0.3237;0.494
1.7320;-0.2972;0.2209;0.3104;0.483
1.7370;-0.3090;0.1844;0.3355;0.492
1.7430;-0.3115;0.1425;0.3799;0.512
1.7480;-0.3288;0.1530;0.4101;0.547
1.7530;-0.3844;0.1390;0.4069;0.577
1.7580;-0.4160;0.1341;0.4327;0.615
1.7660;-0.4622;0.1378;0.4923;0.689
1.7680;-0.4795;0.1644;0.5379;0.739
1.7810;-0.4824;0.1375;0.4930;0.703
1.7810;-0.4854;0.1147;0.4054;0.643
1.7910;-0.4548;0.0673;0.3804;0.597
1.7920;-0.4145;0.0481;0.3174;0.524
1.7990;-0.3551;0.0671;0.2355;0.431
1.8000;-0.3910;0.0862;0.1393;0.424
1.8030;-0.3833;0.1297;0.0334;0.406
1.8080;-0.3798;0.2024;0.0231;0.431
1.8150;-0.4189;0.2037;0.0845;0.473
1.8190;-0.4194;0.1815;0.1169;0.472
1.8240;-0.4248;0.1547;0.1445;0.475
1.8280;-0.4019;0.0851;0.1479;0.437
1.8340;-0.3317;0.1068;0.2086;0.406
1.8380;-0.2381;0.0567;0.2500;0.350
1.8430;-0.1498;-0.0316;0.3152;0.350
1.8490;-0.1144;0.0141;0.3708;0.388
1.8540;-0.1605;0.0261;0.4168;0.447
1.8580;-0.2065;0.0615;0.4821;0.528
1.8740;-0.2239;0.1154;0.5859;0.638
1.8740;-0.2320;0.1396;0.5846;0.644
1.8750;-0.1877;0.1242;0.5983;0.639
1.8790;-0.1820;0.1221;0.5310;0.574
1.8990;-0.1624;0.0666;0.4546;0.487
1.9000;-0.1958;0.0679;0.3642;0.419
1.9000;-0.1911;0.0928;0.2071;0.297
1.9010;-0.1385;0.0844;0.1075;0.195
1.9090;-0.0854;0.0522;0.0271;0.104
1.9110;-0.0890;0.0443;0.0424;0.108
1.9240;-0.1013;0.0366;-0.0093;0.108
1.9250;-0.0891;0.1106;0.0012;0.142
1.9250;-0.1053;0.1706;-0.0316;0.203
1.9290;-0.1309;0.1592;0.0216;0.207
1.9340;-0.1715;0.1146;0.0745;0.219
1.9390;-0.1265;0.1087;0.0699;0.181
1.9440;-0.0823;0.1074;0.1321;0.189
1.9490;-0.0628;0.0915;0.1561;0.192
1.9540;-0.0779;0.0848;0.1610;0.198
1.9590;-0.0843;0.0924;0.0463;0.133
1.9730;-0.0724;0.0903;0.0991;0.152
1.9730;-0.1283;0.0977;0.0083;0.161
1.9750;-0.1939;0.0956;-0.1254;0.250
1.9890;-0.1829;0.1033;-0.1395;0.252
1.9900;-0.2151;0.1020;0.0088;0.238
1.9900;-0.2142;0.1249;0.0133;0.248
1.9960;-0.2040;0.1242;0.0128;0.239
2.0000;-0.2032;0.1142;0.0983;0.253
2.0050;-0.1785;0.0706;0.1838;0.266
2.0100;-0.1586;0.0461;0.2261;0.280
2.0160;-0.1241;0.0502;0.2112;0.250
2.0200;-0.0796;0.0491;0.2825;0.298
2.0250;-0.0585;0.0287;0.2343;0.243
2.0320;-0.0656;-0.0111;0.2389;0.248
2.0360;-0.0913;-0.0224;0.2485;0.266
2.0400;-0.1215;-0.0149;0.2295;0.260
2.0460;-0.1895;0.0070;0.1437;0.238
2.0500;-0.2528;0.0718;0.1440;0.300
2.0550;-0.2906;0.0739;0.1338;0.328
2.0600;-0.3096;0.1235;0.0713;0.341
2.0740;-0.3718;0.0778;0.1281;0.401
2.0750;-0.3962;0.0848;0.1700;0.439
2.0770;-0.3646;0.1058;0.1926;0.426
2.0900;-0.3432;0.1171;0.1580;0.396
2.0910;-0.3177;0.0427;0.1807;0.368
2.0930;-0.2644;0.0160;0.2224;0.346
2.0960;-0.1786;-0.0253;0.2545;0.312
2.1010;-0.1271;-0.0527;0.3152;0.344
2.1060;-0.1094;-0.0712;0.2569;0.288
2.1110;-0.0776;-0.0711;0.2374;0.260
2.1160;-0.0745;-0.0765;0.1425;0.178
2.1210;-0.0668;-0.1013;0.1340;0.181
2.1260;-0.1114;-0.1071;0.0877;0.178
2.1330;-0.1319;-0.0467;0.0562;0.151
2.1360;-0.1950;-0.0060;0.0915;0.215
2.1410;-0.2914;-0.0368;0.0696;0.302
2.1490;-0.2781;-0.0534;-0.0803;0.294
2.1510;-0.2125;0.0443;-0.0200;0.218
2.1560;-0.2668;0.0415;0.0017;0.270
2.1610;-0.2262;-0.0086;-0.0337;0.229
2.1740;-0.2001;-0.0249;-0.0784;0.216
2.1740;-0.0977;-0.0740;-0.1276;0.177
2.1770;0.0047;-0.1414;-0.1289;0.191
2.1930;-0.0163;-0.0938;-0.0734;0.120
2.1940;-0.1078;-0.1318;-0.0375;0.174
2.1950;-0.1412;-0.0554;-0.0066;0.152
2.1970;-0.1078;-0.0365;0.0334;0.119
2.2020;-0.1604;-0.0556;0.0256;0.172
2.2070;-0.1656;-0.0268;0.0178;0.169
2.2120;-0.1332;0.0115;0.0337;0.138
2.2180;-0.1302;0.0259;0.0445;0.140
2.2220;-0.1042;-0.0311;-0.0064;0.109
2.2270;-0.0265;-0.1018;-0.0332;0.110
2.2330;0.1135;-0.1252;-0.0075;0.169
2.2380;0.1623;-0.1676;0.0228;0.234
2.2420;0.1155;-0.0618;0.0245;0.133
2.2490;0.1069;-0.0233;-0.0167;0.111
2.2530;0.1368;-0.0474;0.0044;0.145
2.2580;0.1672;-0.0142;0.0113;0.168
2.2620;0.1978;-0.0004;-0.0103;0.198
2.2670;0.2287;-0.0253;-0.0653;0.239
2.2720;0.2171;-0.0404;-0.0579;0.228
2.2770;0.1772;-0.0268;-0.0985;0.205
2.2900;0.2094;-0.0177;-0.0913;0.229
2.2910;0.2609;-0.0849;-0.0459;0.278
2.2920;0.2937;-0.0468;-0.0436;0.301
2.3090;0.2121;0.0059;-0.0414;0.216
2.3100;0.1790;-0.0035;-0.0393;0.183
2.3110;0.2038;-0.0270;0.0106;0.206
2.3130;0.1526;0.0021;0.0079;0.153
2.3180;0.1785;0.0025;-0.0045;0.179
2.3230;0.1379;-0.0209;-0.0838;0.163
2.3280;0.1743;-0.0106;-0.1105;0.207
2.3330;0.2449;-0.0145;-0.1181;0.272
2.3380;0.2683;-0.0277;-0.1450;0.306
2.3430;0.3068;-0.0503;-0.1479;0.344
2.3500;0.3224;-0.0633;-0.1317;0.354
2.3530;0.3004;-0.0473;-0.1205;0.327
2.3580;0.2882;-0.0694;-0.0806;0.307
2.3640;0.3100;-0.0483;-0.0744;0.322
2.3680;0.2937;-0.0463;-0.0538;0.302
2.3730;0.2968;-0.0488;-0.0860;0.313
2.3810;0.2618;-0.0176;-0.1470;0.301
2.3910;0.2605;-0.0244;-0.1458;0.300
2.3920;0.3027;0.0312;-0.1208;0.327
2.3940;0.2881;0.0008;-0.0864;0.301
2.4110;0.2452;-0.0199;-0.1047;0.267
2.4120;0.2506;-0.0502;-0.1181;0.282
2.4120;0.2467;-0.0566;-0.1459;0.292
2.4170;0.2002;-0.0392;-0.1496;0.253
2.4210;0.1971;-0.0936;-0.1581;0.270
2.4240;0.1751;-0.1147;-0.1952;0.286
2.4290;0.1436;-0.1024;-0.1939;0.262
2.4350;0.1313;-0.0615;-0.2357;0.277
2.4390;0.1286;-0.0779;-0.2057;0.255
2.4440;0.0925;-0.0846;-0.2283;0.260
2.4500;0.0613;-0.0673;-0.2271;0.245
2.4540;0.0631;-0.0350;-0.1533;0.169
2.4590;0.0839;-0.0361;-0.1751;0.197
2.4670;0.0426;-0.0417;-0.1683;0.179
2.4690;0.0205;-0.0328;-0.1285;0.134
2.4740;0.0552;-0.0378;-0.1509;0.165
2.4800;0.0371;-0.0804;-0.1591;0.182
2.4920;0.0761;-0.0843;-0.1721;0.206
2.4930;0.1194;-0.1070;-0.1566;0.224
2.4960;0.1005;-0.1198;-0.0985;0.185
2.5100;0.1576;-0.1231;-0.0219;0.201
2.5100;0.1568;-0.0883;0.0160;0.181
2.5110;0.1510;-0.0920;0.0204;0.178
2.5180;0.1640;-0.0863;-0.0273;0.187
2.5190;0.1859;-0.0429;-0.0365;0.194
2.5240;0.1696;-0.0044;-0.0553;0.178
2.5290;0.1154;-0.0662;-0.0975;0.165
2.5350;0.1189;-0.0658;-0.1251;0.185
